Month ID,Month,State ID,State,HS6 ID,HS6,Flow ID,Flow,Country ID,Country,Trade Value
202208,2022-08,4,Campeche,5271019,"Petroleum Oils, Containing by Weight 70% or more of Petroleum Oils or Oils from Bituminous Minerals, not Light Oils and Preparations",1,Imports,aut,Austria,1111
202208,2022-08,4,Campeche,5271019,"Petroleum Oils, Containing by Weight 70% or more of Petroleum Oils or Oils from Bituminous Minerals, not Light Oils and Preparations",1,Imports,dnk,Denmark,401
202208,2022-08,4,Campeche,5271019,"Petroleum Oils, Containing by Weight 70% or more of Petroleum Oils or Oils from Bituminous Minerals, not Light Oils and Preparations",1,Imports,usa,United States,179037
202208,2022-08,4,Campeche,6340319,"Lubricating Preparations, Incl. Cutting Oils, Preparations Nut Release Preparations, Antirust or Anticorrosion Preparations and Mold Release, Based on Lubricants, Containing Oils of Petroleum or Obtained from Bituminous Minerals (Exc. those Containing Petroleum Oils Mineral Bituminous, as Basic Constituents,> = 70% by Weight and Preparations for the Treatment of Textile Materials, Leather, Furskins or other Materials)",1,Imports,usa,United States,1548
202208,2022-08,4,Campeche,6340399,Lubricating Preparations,1,Imports,che,Switzerland,46882
202208,2022-08,4,Campeche,6340399,Lubricating Preparations,1,Imports,nor,Norway,887
202208,2022-08,4,Campeche,6340399,Lubricating Preparations,1,Imports,usa,United States,10551
202208,2022-08,4,Campeche,6381900,"Hydraulic Brake Fluids and other Liquid Preparations for Hydraulic Transmissions, no Petroleum Oils Mineral Ni Bituminous O Containing such Oils <70 Wt%",1,Imports,deu,Germany,1535
202208,2022-08,4,Campeche,6381900,"Hydraulic Brake Fluids and other Liquid Preparations for Hydraulic Transmissions, no Petroleum Oils Mineral Ni Bituminous O Containing such Oils <70 Wt%",1,Imports,usa,United States,16569
202208,2022-08,4,Campeche,7391739,"Flexible Tubes, Plastic, Reinforced or otherwise Combined with other Materials and Accessories",1,Imports,deu,Germany,9292
202208,2022-08,4,Campeche,7391739,"Flexible Tubes, Plastic, Reinforced or otherwise Combined with other Materials and Accessories",1,Imports,usa,United States,827
202208,2022-08,4,Campeche,7391740,"Joints, Elbows, ""Eacores"" and other Pipe Fittings, Plastic",1,Imports,chn,China,17
202208,2022-08,4,Campeche,7391740,"Joints, Elbows, ""Eacores"" and other Pipe Fittings, Plastic",1,Imports,gbr,United Kingdom,333
202208,2022-08,4,Campeche,7391740,"Joints, Elbows, ""Eacores"" and other Pipe Fittings, Plastic",1,Imports,usa,United States,502
202208,2022-08,4,Campeche,7392330,"Carboys ""Demijohns"" Bottles, Flasks and Similar Articles. for Conveyance or Packing, Plastic",1,Imports,usa,United States,1348
202208,2022-08,4,Campeche,7392690,Plastic Items and Articles of other Materials,1,Imports,chn,China,913
202208,2022-08,4,Campeche,7392690,Plastic Items and Articles of other Materials,1,Imports,gbr,United Kingdom,7600
202208,2022-08,4,Campeche,7392690,Plastic Items and Articles of other Materials,1,Imports,kor,South Korea,2
202208,2022-08,4,Campeche,7392690,Plastic Items and Articles of other Materials,1,Imports,nor,Norway,852
202208,2022-08,4,Campeche,7392690,Plastic Items and Articles of other Materials,1,Imports,swe,Sweden,783
202208,2022-08,4,Campeche,7392690,Plastic Items and Articles of other Materials,1,Imports,twn,Taiwan (Region),26
202208,2022-08,4,Campeche,7392690,Plastic Items and Articles of other Materials,1,Imports,usa,United States,18695
202208,2022-08,4,Campeche,7400942,"Tubes Vulcanised Rubber, Reinforced or otherwise Combined with other Materials, with Fittings, Reinforced or otherwise Combined only with Metal or only Textile",1,Imports,usa,United States,22820
202208,2022-08,4,Campeche,7401039,"Belts, of Vulcanized Rubber (Exc Belts, Endless, Striated Section Keystone, Circumference Exterior> 60 Cm but <= 240 Cm;. Belts, Endless, Notched ""Synchronous"" Circumference Exterior> 60 Cm but <= 198 Cm)",1,Imports,chn,China,4721
202208,2022-08,4,Campeche,7401039,"Belts, of Vulcanized Rubber (Exc Belts, Endless, Striated Section Keystone, Circumference Exterior> 60 Cm but <= 240 Cm;. Belts, Endless, Notched ""Synchronous"" Circumference Exterior> 60 Cm but <= 198 Cm)",1,Imports,swe,Sweden,642
202208,2022-08,4,Campeche,7401039,"Belts, of Vulcanized Rubber (Exc Belts, Endless, Striated Section Keystone, Circumference Exterior> 60 Cm but <= 240 Cm;. Belts, Endless, Notched ""Synchronous"" Circumference Exterior> 60 Cm but <= 198 Cm)",1,Imports,usa,United States,91
202208,2022-08,4,Campeche,7401693,"Gaskets, of Vulcanised Rubber (Exc. Cellular Rubber)",1,Imports,ind,India,3379
202208,2022-08,4,Campeche,7401693,"Gaskets, of Vulcanised Rubber (Exc. Cellular Rubber)",1,Imports,ita,Italy,368
202208,2022-08,4,Campeche,7401693,"Gaskets, of Vulcanised Rubber (Exc. Cellular Rubber)",1,Imports,swe,Sweden,1259
202208,2022-08,4,Campeche,7401693,"Gaskets, of Vulcanised Rubber (Exc. Cellular Rubber)",1,Imports,twn,Taiwan (Region),518
202208,2022-08,4,Campeche,7401693,"Gaskets, of Vulcanised Rubber (Exc. Cellular Rubber)",1,Imports,usa,United States,46292
202208,2022-08,4,Campeche,7401699,"Articles of Vulcanised Rubber, N.E.C",1,Imports,fra,France,60
202208,2022-08,4,Campeche,7401699,"Articles of Vulcanised Rubber, N.E.C",1,Imports,usa,United States,10168
202208,2022-08,4,Campeche,11560900,"Articles of Yarn, Strip or Shapes Simil. of Heading 5404 or 5405, or of Twine, Cordage of Heading 5607, N.E.C",1,Imports,chn,China,1536
202208,2022-08,4,Campeche,11560900,"Articles of Yarn, Strip or Shapes Simil. of Heading 5404 or 5405, or of Twine, Cordage of Heading 5607, N.E.C",1,Imports,gbr,United Kingdom,133
202208,2022-08,4,Campeche,11560900,"Articles of Yarn, Strip or Shapes Simil. of Heading 5404 or 5405, or of Twine, Cordage of Heading 5607, N.E.C",1,Imports,usa,United States,3646
202208,2022-08,4,Campeche,11591190,Textile Products and Articles for Technical Uses,1,Imports,usa,United States,364
